player_id,rate_global,rate_defenseur,rate_milieux
1,,,2.429204348428466
2,,3.669940672890122,
3,,4.120088422173918,
4,,,3.3758316452745687
5,,4.124656842995669,
6,,4.106704797113835,
7,,,
8,5.615156670277503,,
9,,5.772979984569931,
10,,,2.674512261877642
11,,,2.4331345004885234
12,,7.421078716582921,
13,,,
14,,,2.4087016482671917
15,6.9568633431366065,,
16,5.456135943275644,,
17,,,2.6709633011075375
18,,,
19,,,7.72689075630252
20,8.660441959826542,,
21,7.363458489608735,,
22,7.678861654535223,,
